:mode=ask;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:IOInt;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;RetentiveAlarmParameters;AlarmValueDeadband;AlarmDevDeadband;EngUnits;InitialValue;MinEU;MaxEU;Deadband;LogDeadband;LoLoAlarmState;LoLoAlarmValue;LoLoAlarmPri;LoAlarmState;LoAlarmValue;LoAlarmPri;HiAlarmState;HiAlarmValue;HiAlarmPri;HiHiAlarmState;HiHiAlarmValue;HiHiAlarmPri;MinorDevAlarmState;MinorDevAlarmValue;MinorDevAlarmPri;MajorDevAlarmState;MajorDevAlarmValue;MajorDevAlarmPri;DevTarget;ROCAlarmState;ROCAlarmValue;ROCAlarmPri;ROCTimeBase;MinRaw;MaxRaw;Conversion;AccessName;ItemUseTagname;ItemName;ReadOnly;AlarmComment;AlarmAckModel;LoLoAlarmDisable;LoAlarmDisable;HiAlarmDisable;HiHiAlarmDisable;MinDevAlarmDisable;MajDevAlarmDisable;RocAlarmDisable;LoLoAlarmInhibitor;LoAlarmInhibitor;HiAlarmInhibitor;HiHiAlarmInhibitor;MinDevAlarmInhibitor;MajDevAlarmInhibitor;RocAlarmInhibitor;SymbolicName
A16_AO_0000;A16_Variables;DP0S6N0;No;No;200;No;No;0;0;0000;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD0;No;For testing purposes only;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_1100;A16_Variables_G1;DP5S6N1;No;No;200;No;No;0;0;0001;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD64;No;TTJ1 : Agitateur cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_1200;A16_Variables_G1;DP5S6N2;No;No;200;No;No;0;0;0002;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD128;No;TTJ2 : Agitateur cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_8813;A16_Variables_G1;DP5S6N3;No;No;200;No;No;0;0;0003;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD192;No;LSO13 : Pompe soutirage;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_8814;A16_Variables_G1;DP5S6N4;No;No;200;No;No;0;0;0004;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD256;No;LSO14 : Pompe soutirage;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_1300;A16_Variables_G1;DP5S7N1;No;No;200;No;No;0;0;0005;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD320;No;TTJ3 : Agitateur cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_8815;A16_Variables_G1;DP5S7N2;No;No;200;No;No;0;0;0006;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD384;No;LSO15 : Pompe soutirage;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_8816;A16_Variables_G1;DP5S7N3;No;No;200;No;No;0;0;0007;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD448;No;LSO16 : Pompe soutirage;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_8817;A16_Variables_G1;DP5S7N4;No;No;200;No;No;0;0;0008;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD512;No;LSO17 : Pompe soutirage;0;0;0;0;0;0;0;0;;;;;;;;
A16_SC_1400;A16_Variables_G1;DP5S9N1;No;No;200;No;No;0;0;0009;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1094.DBD576;No;TTJ4 : Agitateur cuve;0;0;0;0;0;0;0;0;;;;;;;;
