:mode=ask;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:IOInt;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;RetentiveAlarmParameters;AlarmValueDeadband;AlarmDevDeadband;EngUnits;InitialValue;MinEU;MaxEU;Deadband;LogDeadband;LoLoAlarmState;LoLoAlarmValue;LoLoAlarmPri;LoAlarmState;LoAlarmValue;LoAlarmPri;HiAlarmState;HiAlarmValue;HiAlarmPri;HiHiAlarmState;HiHiAlarmValue;HiHiAlarmPri;MinorDevAlarmState;MinorDevAlarmValue;MinorDevAlarmPri;MajorDevAlarmState;MajorDevAlarmValue;MajorDevAlarmPri;DevTarget;ROCAlarmState;ROCAlarmValue;ROCAlarmPri;ROCTimeBase;MinRaw;MaxRaw;Conversion;AccessName;ItemUseTagname;ItemName;ReadOnly;AlarmComment;AlarmAckModel;LoLoAlarmDisable;LoAlarmDisable;HiAlarmDisable;HiHiAlarmDisable;MinDevAlarmDisable;MajDevAlarmDisable;RocAlarmDisable;LoLoAlarmInhibitor;LoAlarmInhibitor;HiAlarmInhibitor;HiHiAlarmInhibitor;MinDevAlarmInhibitor;MajDevAlarmInhibitor;RocAlarmInhibitor;SymbolicName
A16_DIO_0000;A16_Variables;DP00S0N0;No;No;200;No;No;0;0;0000;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD0;No;For testing purposes only;0;0;0;0;0;0;0;0;;;;;;;;
A16_ES_0001;A16_Variables_G1;DP5S4N1;No;No;200;No;No;0;0;0001;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD50;No;CF01 : Présence arrêt d'urgence;0;0;0;0;0;0;0;0;;;;;;;;
A16_XI_4060;A16_Variables_G1;DP5S4N29;No;No;200;No;No;0;0;0002;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD100;No;LSO16 : Prêt pour production TTOP1/L2;0;0;0;0;0;0;0;0;;;;;;;;
A16_XI_4061;A16_Variables_G1;DP5S4N30;No;No;200;No;No;0;0;0003;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD150;No;LSO16 : Prêt pour NEP TTOP1/L2;0;0;0;0;0;0;0;0;;;;;;;;
A16_XI_4059;A16_Variables_G1;DP5S4N31;No;No;200;No;No;0;0;0004;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD200;No;LSO15 : Validation amorçage TTOP2;0;0;0;0;0;0;0;0;;;;;;;;
A16_XI_4069;A16_Variables_G1;DP5S4N32;No;No;200;No;No;0;0;0005;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD250;No;LSO16 : Validation amorçage TTOP1/L2;0;0;0;0;0;0;0;0;;;;;;;;
A16_XO_4060;A16_Variables_G1;DP5S5N25;No;No;200;No;No;0;0;0006;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD300;No;LSO16 : Production en cours TTOP1/L2;0;0;0;0;0;0;0;0;;;;;;;;
A16_XO_4061;A16_Variables_G1;DP5S5N26;No;No;200;No;No;0;0;0007;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD350;No;LSO16 : Prêt pour NEP TTOP1/L2;0;0;0;0;0;0;0;0;;;;;;;;
A16_XO_4062;A16_Variables_G1;DP5S5N27;No;No;200;No;No;0;0;0008;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD400;No;LSO16 : NEP en cours TTOP1/L2;0;0;0;0;0;0;0;0;;;;;;;;
A16_XO_4059;A16_Variables_G1;DP5S5N28;No;No;200;No;No;0;0;0009;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD450;No;LSO15 : Demande validation amorçage TTOP2;0;0;0;0;0;0;0;0;;;;;;;;
